Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.997716894977169,0.9357601713062098,0.9657458563535912,0.08565145530436735,-0.021321373758167894,0.03171444274102586,12.703287839889526
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.9618055555555556,0.7148387096774194,0.8201332346410067,0.10360580216468007,-0.19141129032258064,-0.06143737967184959,64.64470362663269
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.9662162162162162,0.7988826815642458,0.8746177370030581,0.391267550918475,0.016759776536312887,0.2118958435119339,26.933341026306152
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,1.0,0.860655737704918,0.9251101321585903,0.2785862785862786,-0.08484834948854247,0.10671390574349604,10.776887655258179
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,1.0,0.21182266009852216,0.3495934959349593,0.3881118881118881,-0.6481281998523378,-0.36542182582193544,11.566898345947266
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9946524064171123,0.8435374149659864,0.912883435582822,0.3522683004568474,-0.03628117913832196,0.1702997035254059,19.155386447906494
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9814471243042672,0.8672131147540983,0.9208006962576153,0.21374174186800654,-0.021311475409836134,0.09709248957068528,44.14177060127258
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.8816568047337278,0.5708812260536399,0.6930232558139534,0.4466174346549876,-0.2726302243280395,0.11899728178797941,8.576937437057495
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.9877551020408163,0.37753510140405616,0.54627539503386,0.31731342593662604,-0.546021840873635,-0.2306274921052477,69.40457963943481
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.9880239520958084,0.9116022099447514,0.9482758620689656,0.40512691893699515,-0.011049723756906049,0.2338373593951688,18.573617935180664
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.9565217391304348,0.5308310991957105,0.6827586206896551,0.33979022162070716,-0.32131943843869815,-0.032817000077839276,14.435581922531128
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.994750656167979,0.9381188118811881,0.9656050955414012,0.28452338344070627,0.009900990099009799,0.16088406549848266,10.666661739349365
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9704918032786886,0.8176795580110497,0.8875562218890556,0.9258821378511792,0.7513812154696133,0.8342228885557222,15.662046194076538
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.851063829787234,0.449438202247191,0.588235294117647,0.09739814063767394,-0.5131086142322098,-0.25715944272445823,12.963633060455322
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9940357852882704,0.8726003490401396,0.9293680297397771,0.38933253780786725,-0.06980802792321117,0.19266953042190527,50.7973210811615
Aggregate,0.6337947101130663,0.8440396535511119,0.7199411994983653,0.9684091913328854,0.7134264698566083,0.8006654908550638,0.33461448121981907,-0.1306131836945036,0.08072429135669845,26.066843636830647
